Réservation au nom de ;Domaines ;Ressource  ;Description ;Heure - Durée ;Type;Dernière mise à jour
mono3;Enceinte;RONDSON n°1 câble du Rondson n°3 car n°1 HS;;mercredi 20 octobre 2021 13:30:00 - 2 heure(s) et 30 minute(s) ;Emprunt ;mercredi 06 octobre 202116:43:06
mono12;NOUVEAUX PC COURTE DUREE;PC B CD n°2;DELL Latitude E5580;mercredi 20 octobre 2021 12:00:00 - 6 heure(s) ;Cours;mercredi 20 octobre 202111:57:05
mono3;Enceinte;RONDSON n°1 câble du Rondson n°3 car n°1 HS;;jeudi 21 octobre 2021 08:00:00 - 4 heure(s) ;Emprunt ;mercredi 06 octobre 202112:14:09
mono7;NOUVEAUX PC COURTE DUREE;PC B CD n°6;Dell Latitude 3410;jeudi 21 octobre 2021 10:00:00 - 2 heure(s) ;Cours;mercredi 20 octobre 202108:48:02
mono18;Videoprojecteur;VP 02;Epson EB-W29;jeudi 21 octobre 2021 09:44:00 - 3 heure(s) ;Cours;jeudi 21 octobre 202109:44:41
mono6;Videoprojecteur;VP 04;Epson EB-W22;jeudi 21 octobre 2021 12:00:00 - 4 heure(s) ;Emprunt ;jeudi 21 octobre 202112:16:21
mono8;Tablettes Ipad - Longue Durée;Ipad n°2;Pas de clavier;mardi 19 octobre 2021 10:00:00 - 2 jour(s) et 7 heure(s) ;Emprunt ;mardi 19 octobre 202111:27:53
mono2;NOUVEAUX PC COURTE DUREE;PC B CD n°1 ;Dell Latitude 3410;jeudi 21 octobre 2021 13:30:00 - 4 heure(s) et 30 minute(s) ;Cours;lundi 27 septembre 202113:47:21
mono2;NOUVEAUX PC COURTE DUREE;PC B CD n°2;DELL Latitude E5580;jeudi 21 octobre 2021 13:30:00 - 4 heure(s) et 30 minute(s) ;Cours;lundi 27 septembre 202113:47:27
mono2;NOUVEAUX PC COURTE DUREE;PC B CD n°3;DELL Latitude E5580;jeudi 21 octobre 2021 13:30:00 - 4 heure(s) et 30 minute(s) ;Cours;lundi 27 septembre 202113:47:32
mono2;NOUVEAUX PC COURTE DUREE;PC B CD n°4;Dell Latitude 3410;jeudi 21 octobre 2021 13:30:00 - 4 heure(s) et 30 minute(s) ;Cours;lundi 27 septembre 202113:47:38
mono2;NOUVEAUX PC COURTE DUREE;PC B CD n°5;Dell Latitude 3410;jeudi 21 octobre 2021 13:30:00 - 4 heure(s) et 30 minute(s) ;Cours;lundi 27 septembre 202113:47:43
mono12;NOUVEAUX PC LONGUE DUREE;PC B LD n°16;Dell Latitude 3410 ;vendredi 24 septembre 2021 09:30:00 - 4 semaine(s) ;Emprunt ;vendredi 24 septembre 202109:39:39
mono3;Tablettes Ipad - Longue Durée;Ipad n°4;Ipad;vendredi 10 septembre 2021 17:00:00 - 5 semaine(s), 6 jour(s) et 17 heure(s) ;Maintenance;vendredi 22 octobre 202110:27:08
mono11;Micro Cravate NON PRO;Micro Cravate n°1;Sony ECM AW3(T);vendredi 15 octobre 2021 14:00:00 - 1 semaine(s) et 30 minute(s) ;Emprunt ;vendredi 15 octobre 202114:16:56
mono11;Enregistreur Numerique;Tascam mini n°7;Dr-05x;vendredi 15 octobre 2021 14:00:00 - 1 semaine(s) et 30 minute(s) ;Emprunt ;vendredi 15 octobre 202114:28:23
mono7;Trepied Photo / Vidéo;Trépied n°1;Manfrotto BeFree;mercredi 20 octobre 2021 12:00:00 - 3 jour(s) et 6 heure(s) ;Cours;vendredi 15 octobre 202110:35:20
mono7;Trepied Photo / Vidéo;Trépied n°2;Manfrotto BeFree;mercredi 20 octobre 2021 12:00:00 - 3 jour(s) et 6 heure(s) ;Cours;vendredi 15 octobre 202110:35:20
mono7;Trepied Photo / Vidéo;Trépied n°4;Manfrotto BeFree ;mercredi 20 octobre 2021 12:00:00 - 3 jour(s) et 6 heure(s) ;Cours;vendredi 15 octobre 202110:35:20
mono7;Trepied Photo / Vidéo;Trépied n°5;Manfrotto BeFree;mercredi 20 octobre 2021 12:00:00 - 3 jour(s) et 6 heure(s) ;Cours;vendredi 15 octobre 202110:35:20
mono7;Trepied Photo / Vidéo;Trépied n°6;Manfrotto Befree;mercredi 20 octobre 2021 12:00:00 - 3 jour(s) et 6 heure(s) ;Cours;vendredi 15 octobre 202110:35:20
mono8;Videoprojecteur;VP 01 ;Epson EBW29;mercredi 20 octobre 2021 17:00:00 - 4 jour(s) et 16 heure(s) ;Cours;mercredi 20 octobre 202117:40:06
